system,model,total_issues,flagged_as_duplicate,TP,FP,TN,FN,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,accuracy,avg_confidence_flagged
A,claude-haiku-4-5,75,10,0,10,65,0,0.0,1.0,0.0,1.0,0.8667,0.9286,0.5,0.9333,0.4643,0.8667,0.87
A,claude-opus-4-7,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.95
A,claude-sonnet-4-6,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.95
A,gpt-4.1,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9167
A,gpt-4.1-mini,75,4,0,4,71,0,0.0,1.0,0.0,1.0,0.9467,0.9726,0.5,0.9733,0.4863,0.9467,0.9
A,gpt-4o,75,5,0,5,70,0,0.0,1.0,0.0,1.0,0.9333,0.9655,0.5,0.9667,0.4828,0.9333,0.92
A,gpt-4o-mini,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.9
A,gpt-5.4,75,6,0,6,69,0,0.0,1.0,0.0,1.0,0.92,0.9583,0.5,0.96,0.4792,0.92,0.975
A,gpt-5.4-mini,75,9,0,9,66,0,0.0,1.0,0.0,1.0,0.88,0.9362,0.5,0.94,0.4681,0.88,0.9056
A,gpt-5.5,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9467
B,claude-haiku-4-5,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9267
B,claude-opus-4-7,75,3,0,3,72,0,0.0,1.0,0.0,1.0,0.96,0.9796,0.5,0.98,0.4898,0.96,0.9167
B,claude-sonnet-4-6,75,2,0,2,73,0,0.0,1.0,0.0,1.0,0.9733,0.9865,0.5,0.9867,0.4932,0.9733,0.98
B,gpt-4.1,75,8,0,8,67,0,0.0,1.0,0.0,1.0,0.8933,0.9437,0.5,0.9467,0.4718,0.8933,0.875
B,gpt-4.1-mini,75,7,0,7,68,0,0.0,1.0,0.0,1.0,0.9067,0.951,0.5,0.9533,0.4755,0.9067,0.9143
B,gpt-4o,75,18,0,18,57,0,0.0,1.0,0.0,1.0,0.76,0.8636,0.5,0.88,0.4318,0.76,0.9056
B,gpt-4o-mini,75,6,0,6,69,0,0.0,1.0,0.0,1.0,0.92,0.9583,0.5,0.96,0.4792,0.92,0.875
B,gpt-5.4,75,7,0,7,68,0,0.0,1.0,0.0,1.0,0.9067,0.951,0.5,0.9533,0.4755,0.9067,0.9686
B,gpt-5.4-mini,75,4,0,4,71,0,0.0,1.0,0.0,1.0,0.9467,0.9726,0.5,0.9733,0.4863,0.9467,0.9575
B,gpt-5.5,75,5,0,5,70,0,0.0,1.0,0.0,1.0,0.9333,0.9655,0.5,0.9667,0.4828,0.9333,0.92
